number,name,status
257,Docstring Conventions,Active
272,API for Block Encryption Algorithms v1.0,Final
399,Pure Python/C Accelerator Module Compatibility Requirements,Final
1,PEP Purpose and Guidelines,Active
290,Code Migration and Modernization,Active
287,reStructuredText Docstring Format,Active
248,Python Database API Specification v1.0,Final
247,API for Cryptographic Hash Functions,Final
333,Python Web Server Gateway Interface v1.0,Final
394,The “python” Command on Unix-Like Systems,Active
8015,Organization of the Python community,Rejected
8014,The Commons Governance Model,Rejected
249,Python Database API Specification v2.0,Final
101,Doing Python Releases 101,Active
761,Deprecating PGP signatures for CPython artifacts,Active
20,The Zen of Python,Active
732,The Python Documentation Editorial Board,Active
8012,The Community Governance Model,Rejected
731,C API Working Group Charter,Active
3153,Asynchronous IO support,Superseded
3142,Add a “while” clause to generator expressions,Rejected
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3146,Merging Unladen Swallow into CPython,Withdrawn
3152,Cofunctions,Rejected
8013,The External Council Governance Model,Rejected
3136,Labeled break and continue,Rejected
3140,"str(container) should call str(item), not repr(item)",Rejected
3130,Access to Current Module/Class/Function,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
3126,Remove Implicit String Concatenation,Rejected
8010,The Technical Leader Governance Model,Rejected
3125,Remove Backslash Continuation,Rejected
3103,A Switch/Case Statement,Rejected
3139,Cleaning out sys and the “interpreter” module,Rejected
3133,Introducing Roles,Rejected
3128,BList: A Faster List-like Type,Rejected
2026,Calendar versioning for Python,Rejected
760,No More Bare Excepts,Withdrawn
759,External Wheel Hosting,Withdrawn
3117,Postfix type declarations,Rejected
3122,Delineation of the main module,Rejected
726,Module ,Rejected
3001,Procedure for reviewing and improving standard library modules,Withdrawn
754,IEEE 754 Floating Point Special Values,Rejected
756,Add PyUnicode_Export() and PyUnicode_Import() C functions,Withdrawn
724,Stricter Type Guards,Withdrawn
722,Dependency specification for single-file scripts,Rejected
712,Adding a “converter” parameter to dataclasses.field,Rejected
713,Callable Modules,Rejected
707,A simplified signature for __exit__ and __aexit__,Rejected
666,Reject Foolish Indentation,Rejected
662,Editable installs via virtual wheels,Rejected
704,Require virtual environments by default for package installers,Withdrawn
663,"Standardizing Enum str(), repr(), and format() behaviors",Rejected
648,Extensible customizations of the interpreter at startup,Rejected
690,Lazy Imports,Rejected
677,Callable Type Syntax,Rejected
641,Using an underscore in the version portion of Python 3.10 compatibility tags,Rejected
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected
665,A file format to list Python dependencies for reproducibility of an application,Rejected
637,Support for indexing with keyword arguments,Rejected
640,Unused variable syntax,Rejected
651,Robust Stack Overflow Handling,Rejected
650,Specifying Installer Requirements for Python Projects,Withdrawn
645,Allow writing optional types as ,Withdrawn
622,Structural Pattern Matching,Superseded
611,The one million limit,Withdrawn
605,A rolling feature release stream for CPython,Rejected
598,Introducing incremental feature releases,Withdrawn
633,Dependency specification in pyproject.toml using an exploded TOML table,Rejected
631,Dependency specification in pyproject.toml based on PEP 508,Superseded
620,Hide implementation details from the C API,Withdrawn
608,Coordinated Python release,Rejected
606,Python Compatibility Version,Rejected
582,Python local packages directory,Rejected
599,The manylinux2014 Platform Tag,Superseded
580,The C call protocol,Rejected
601,Forbid return/break/continue breaking out of finally,Rejected
595,Improving bugs.python.org,Withdrawn
583,A Concurrency Memory Model for Python,Withdrawn
576,Rationalize Built-in function classes,Withdrawn
577,Augmented Assignment Expressions,Withdrawn
554,Multiple Interpreters in the Stdlib,Superseded
559,Built-in noop(),Rejected
551,Security transparency in the Python runtime,Withdrawn
